macros,positive frequency,length
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'),78,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),89,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),2,3
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),2,3
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),29,3
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),15,3
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),37,3
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),72,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),2,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),2,4
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),2,4
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),14,4
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),12,4
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),37,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),2,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),2,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),2,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),12,5
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),12,5
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),37,5
('prepare_unload_0'  'move_r0_l0_l1'),94,2
('move_r0_l1_l0'  'unload_r0_k1_0'),25,2
('prepare_unload_0'  'move_r0_l0_l1'  'move_r0_l0_l1'),57,3
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),14,3
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),25,3
('prepare_unload_0'  'move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'),53,4
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),14,4
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),14,4
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),25,4
('prepare_unload_0'  'move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),48,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),1,5
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),14,5
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),14,5
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),24,5
('prepare_unload_0'  'move_r0_l0_l2'),64,2
('move_r0_l0_l2'  'move_r0_l0_l2'),100,2
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),108,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),110,2
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,2
('move_r0_l2_l0'  'prepare_unload_0'),121,2
('prepare_unload_0'  'move_r0_l2_l0'),41,2
('move_r0_l2_l0'  'unload_r0_k1_0'),19,2
('prepare_unload_0'  'move_r0_l0_l2'  'move_r0_l0_l2'),39,3
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),94,3
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),107,3
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,3
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,3
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),21,3
('prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),11,3
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),19,3
('prepare_unload_0'  'move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),37,4
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),93,4
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,4
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),1,4
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),11,4
('prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),11,4
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),18,4
('prepare_unload_0'  'move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),36,5
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,5
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),1,5
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),11,5
('prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),10,5
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),18,5
('load_r0_l2_c2_k1_0'  'prepare_unload_0'),15,2
('move_r0_l2_l0'  'move_r0_l2_l0'),98,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),14,3
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l0'),1,3
('prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),19,3
('move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'),8,3
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),14,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l0'),1,4
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),1,4
('prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'),2,4
('move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),8,4
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),13,5
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'),1,5
('prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),2,5
('move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),8,5
('move_r0_l0_l3'  'move_r0_l0_l3'),138,2
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),125,2
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),123,2
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),3,2
('move_r0_l3_l0'  'prepare_unload_0'),115,2
('prepare_unload_0'  'move_r0_l3_l0'),36,2
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),121,3
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),123,3
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),3,3
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'),2,3
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),23,3
('prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),19,3
('move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),32,3
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),120,4
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),3,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'),2,4
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),2,4
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),14,4
('prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),14,4
('move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),32,4
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),2,5
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'),2,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),2,5
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),1,5
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),12,5
('prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),14,5
('move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),31,5
('move_r0_l3_l0'  'move_r0_l3_l0'),83,2
('unload_r0_k1_0'  'move_r0_l0_l2'),1,2
('move_r0_l0_l2'  'prepare_unload_0'),16,2
('prepare_unload_0'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),4,3
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),1,3
('move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'),74,3
('unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l2'),1,3
('unload_r0_k1_0'  'move_r0_l0_l2'  'move_r0_l0_l2'),1,3
('move_r0_l0_l2'  'move_r0_l0_l2'  'prepare_unload_0'),2,3
('move_r0_l0_l2'  'prepare_unload_0'  'prepare_unload_0'),1,3
('move_r0_l0_l3'  'prepare_unload_0'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),4,4
('prepare_unload_0'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),3,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),1,4
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'),1,4
('move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),18,4
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l2'),1,4
('unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l2'  'move_r0_l0_l2'),1,4
('unload_r0_k1_0'  'move_r0_l0_l2'  'move_r0_l0_l2'  'prepare_unload_0'),1,4
('move_r0_l0_l2'  'move_r0_l0_l2'  'prepare_unload_0'  'prepare_unload_0'),1,4
('move_r0_l0_l3'  'prepare_unload_0'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),3,5
('prepare_unload_0'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),1,5
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),1,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'),1,5
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),1,5
('move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),18,5
('move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l2'),1,5
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l2'  'move_r0_l0_l2'),1,5
('unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l2'  'move_r0_l0_l2'  'prepare_unload_0'),1,5
('unload_r0_k1_0'  'move_r0_l0_l2'  'move_r0_l0_l2'  'prepare_unload_0'  'prepare_unload_0'),1,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'),32,2
('load_r0_l2_c2_k1_1'  'prepare_unload_0'),37,2
('prepare_unload_0'  'load_r0_l2_c2_k1_1'),31,2
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),9,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'),31,3
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),15,3
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'),31,3
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),2,3
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),8,3
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'),30,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),15,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'),15,4
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),2,4
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),1,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),8,4
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'),24,5
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),15,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'),15,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),2,5
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),4,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),73,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),17,3
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),4,3
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'move_r0_l2_l0'),1,3
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),89,3
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),30,3
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),16,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),2,4
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'move_r0_l2_l0'),1,4
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),1,4
('prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),17,4
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),25,4
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),29,4
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),15,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),2,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),14,5
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),25,5
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),28,5
('load_r0_l2_c2_k1_0'  'move_r0_l2_l3'),27,2
('move_r0_l2_l3'  'move_r0_l2_l3'),77,2
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'),30,2
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),69,2
('load_r0_l3_c3_k1_1'  'prepare_unload_0'),55,2
('move_r0_l3_l0'  'unload_r0_k1_0'),16,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'),27,3
('load_r0_l2_c2_k1_0'  'move_r0_l2_l3'  'move_r0_l2_l3'),26,3
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'),28,3
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),22,3
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'),8,3
('load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l0'),1,3
('prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'),9,3
('move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),16,3
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'),25,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'  'move_r0_l2_l3'),26,4
('load_r0_l2_c2_k1_0'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'),26,4
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),20,4
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'),4,4
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l0'),1,4
('load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),1,4
('prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),3,4
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'),9,4
('prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),9,4
('move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),15,4
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'),24,5
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'  'move_r0_l2_l3'),24,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'),26,5
('load_r0_l2_c2_k1_0'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),19,5
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'),2,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l0'),1,5
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),1,5
('load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),1,5
('prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'),2,5
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),9,5
('prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),8,5
('move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),14,5
('load_r0_l3_c3_k1_1'  'move_r0_l3_l0'),7,2
