Expanded states,MemoryError,Useful macros,config,group,instance,memory,overall_time,plan_size,real,retval,run,set,solved,sys,user
,False,,,set_1_hff,problem_85.anml,3379428,,,601.9609820000001,137,,set_1,,3.429439,598.531543
,False,,,set_1_hff,problem_121.anml,2602096,,,601.942618,137,,set_1,,2.945506,598.997112
,False,,,set_1_hff,problem_55.anml,3270224,,,601.969482,137,,set_1,,3.406837,598.562645
9974,False,,,set_1_hff,problem_356.anml,806404,80.99138021469116,15,84.560334,0,,set_1,True,1.279218,83.281116
,False,,,set_1_hff,problem_87.anml,2916060,,,601.9507629999999,137,,set_1,,3.2748720000000002,598.675891
123,False,,,set_1_hff,problem_100.anml,454600,0.833249568939209,13,4.522357,0,,set_1,True,0.91026,3.612097
2279,False,,,set_1_hff,problem_428.anml,453424,16.73409080505371,11,20.358753,0,,set_1,True,0.7880469999999999,19.570706
60617,False,,,set_1_hff,problem_274.anml,2062640,422.0327377319336,12,425.49073300000003,0,,set_1,True,2.584288,422.906445
105434,False,,,set_1_hff,problem_176.anml,1554660,364.03382992744446,13,367.343767,0,,set_1,True,1.894904,365.448863
2310,False,,,set_1_hff,problem_430.anml,453372,16.253026723861694,11,19.645683,0,,set_1,True,0.839591,18.806092
,False,,,set_1_hff,problem_390.anml,3315360,,,601.995366,137,,set_1,,3.4071059999999997,598.58826
,False,,,set_1_hff,problem_405.anml,4085164,,,601.992329,137,,set_1,,4.0675419999999995,597.924787
,False,,,set_1_hff,problem_13.anml,3147908,,,601.9740999999999,137,,set_1,,3.395645,598.578455
,False,,,set_1_hff,problem_169.anml,3071192,,,602.021805,137,,set_1,,3.1971439999999998,598.824661
,False,,,set_1_hff,problem_179.anml,2669920,,,602.01293,137,,set_1,,2.954071,599.058859
6004,False,,,set_1_hff,problem_410.anml,618104,47.879528760910034,12,51.542277999999996,0,,set_1,True,0.9607669999999999,50.581511
26,False,,,set_1_hff,problem_4.anml,453836,0.39098572731018066,6,4.2346889999999995,0,,set_1,True,0.883315,3.351374
31,False,,,set_1_hff,problem_240.anml,454676,0.5132813453674316,9,4.076521,0,,set_1,True,0.806905,3.269616
,False,,,set_1_hff,problem_135.anml,3172100,,,601.968677,137,,set_1,,3.321068,598.647609
2278,False,,,set_1_hff,problem_302.anml,453712,16.169225454330444,10,19.746036999999998,0,,set_1,True,0.878714,18.867323
,False,,,set_1_hff,problem_253.anml,4539852,,,602.032594,137,,set_1,,4.391822,597.640772
,False,,,set_1_hff,problem_163.anml,3296276,,,601.9869980000001,137,,set_1,,3.516821,598.470177
,False,,,set_1_hff,problem_461.anml,3360280,,,602.019345,137,,set_1,,3.747146,598.272199
5297,False,,,set_1_hff,problem_482.anml,525024,33.742595195770264,9,37.287031999999996,0,,set_1,True,1.128927,36.158105
,False,,,set_1_hff,problem_181.anml,2644804,,,601.976704,137,,set_1,,3.046779,598.929925
,False,,,set_1_hff,problem_281.anml,2984296,,,602.0056000000001,137,,set_1,,3.174921,598.830679
,False,,,set_1_hff,problem_471.anml,4317172,,,602.061496,137,,set_1,,4.341445,597.720051
,False,,,set_1_hff,problem_41.anml,2887952,,,601.9470749999999,137,,set_1,,3.256773,598.690302
13162,False,,,set_1_hff,problem_255.anml,1005756,96.388010263443,15,99.956642,0,,set_1,True,1.267313,98.689329
109307,False,,,set_1_hff,problem_172.anml,1597424,371.46900701522827,12,374.876661,0,,set_1,True,1.910726,372.965935
5724,False,,,set_1_hff,problem_472.anml,562500,43.6178936958313,13,47.182244,0,,set_1,True,1.002319,46.179925
,False,,,set_1_hff,problem_345.anml,3365672,,,601.922235,137,,set_1,,3.529767,598.392468
,False,,,set_1_hff,problem_241.anml,3790820,,,602.019437,137,,set_1,,3.989287,598.03015
,False,,,set_1_hff,problem_37.anml,2919492,,,602.008032,137,,set_1,,3.075306,598.932726
10910,False,,,set_1_hff,problem_261.anml,898492,77.5956974029541,15,81.114135,0,,set_1,True,1.338237,79.775898
,False,,,set_1_hff,problem_131.anml,2822724,,,601.942018,137,,set_1,,3.082065,598.859953
109307,False,,,set_1_hff,problem_210.anml,1597448,371.0955948829651,12,374.671158,0,,set_1,True,2.148234,372.522924
,False,,,set_1_hff,problem_129.anml,2877468,,,601.985509,137,,set_1,,3.117934,598.867575
,False,,,set_1_hff,problem_47.anml,2901388,,,601.982119,137,,set_1,,3.2546239999999997,598.727495
,False,,,set_1_hff,problem_91.anml,2649136,,,601.98589,137,,set_1,,3.10994,598.87595
,False,,,set_1_hff,problem_63.anml,3281604,,,601.936778,137,,set_1,,3.36545,598.571328
,False,,,set_1_hff,problem_21.anml,3098072,,,602.022851,137,,set_1,,3.547959,598.474892
,False,,,set_1_hff,problem_171.anml,2727376,,,601.900804,137,,set_1,,3.0271150000000002,598.873689
105434,False,,,set_1_hff,problem_110.anml,1553768,359.9054641723633,13,363.285514,0,,set_1,True,1.937304,361.34821
,False,,,set_1_hff,problem_391.anml,3392308,,,601.95348,137,,set_1,,3.602665,598.350815
,False,,,set_1_hff,problem_31.anml,3333944,,,601.971177,137,,set_1,,3.322497,598.64868
35895,False,,,set_1_hff,problem_420.anml,1693788,272.0756878852844,13,275.499396,0,,set_1,True,1.832072,273.667324
,False,,,set_1_hff,problem_217.anml,2859628,,,601.974879,137,,set_1,,3.138601,598.836278
41910,False,,,set_1_hff,problem_300.anml,1394500,280.9592401981354,12,284.324607,0,,set_1,True,1.782457,282.54215
,False,,,set_1_hff,problem_389.anml,3306028,,,601.955412,137,,set_1,,3.491111,598.464301
,False,,,set_1_hff,problem_51.anml,3256932,,,601.984191,137,,set_1,,3.5038460000000002,598.480345
,False,,,set_1_hff,problem_325.anml,4116920,,,601.980707,137,,set_1,,3.7566080000000004,598.224099
,False,,,set_1_hff,problem_435.anml,2483896,,,601.963914,137,,set_1,,2.9157029999999997,599.048211
60384,False,,,set_1_hff,problem_308.anml,1961212,423.1809344291687,12,426.604988,0,,set_1,True,2.548629,424.056359
,False,,,set_1_hff,problem_229.anml,2892128,,,601.926071,137,,set_1,,3.316329,598.609742
,False,,,set_1_hff,problem_465.anml,3384048,,,602.00301,137,,set_1,,3.746941,598.256069
,False,,,set_1_hff,problem_137.anml,2912768,,,601.921157,137,,set_1,,2.8833130000000002,599.037844
,False,,,set_1_hff,problem_445.anml,3455380,,,601.964583,137,,set_1,,3.87236,598.092223
,False,,,set_1_hff,problem_57.anml,2895084,,,601.930957,137,,set_1,,3.01806,598.912897
,False,,,set_1_hff,problem_342.anml,2538128,,,601.940814,137,,set_1,,3.057121,598.883693
,False,,,set_1_hff,problem_295.anml,4403180,,,602.0494759999999,137,,set_1,,4.068911,597.980565
,False,,,set_1_hff,problem_195.anml,2674692,,,601.892113,137,,set_1,,2.886861,599.005252
,False,,,set_1_hff,problem_205.anml,2665256,,,601.9452040000001,137,,set_1,,2.939369,599.005835
,False,,,set_1_hff,problem_145.anml,2328976,,,601.8968679999999,137,,set_1,,2.6091670000000002,599.287701
,False,,,set_1_hff,problem_177.anml,2391708,,,601.922626,137,,set_1,,2.508832,599.4137939999999
,False,,,set_1_hff,problem_49.anml,2912140,,,601.9575169999999,137,,set_1,,3.28288,598.674637
,False,,,set_1_hff,problem_267.anml,4724976,,,602.042924,137,,set_1,,4.410989,597.6319350000001
,False,,,set_1_hff,problem_17.anml,3351584,,,602.010821,137,,set_1,,3.776208,598.234613
,False,,,set_1_hff,problem_411.anml,4403948,,,602.0470939999999,137,,set_1,,4.267132,597.779962
,False,,,set_1_hff,problem_127.anml,2628440,,,601.928088,137,,set_1,,2.850906,599.077182
,False,,,set_1_hff,problem_337.anml,3696548,,,601.996356,137,,set_1,,3.679358,598.316998
,False,,,set_1_hff,problem_381.anml,3435372,,,601.982327,137,,set_1,,3.523395,598.458932
,False,,,set_1_hff,problem_467.anml,4343972,,,602.041809,137,,set_1,,4.17703,597.864779
,False,,,set_1_hff,problem_81.anml,3763944,,,601.979606,137,,set_1,,3.830259,598.149347
,False,,,set_1_hff,problem_187.anml,3140456,,,601.989597,137,,set_1,,3.317866,598.671731
15,False,,,set_2_hff,problem_1.anml,452544,0.4164390563964844,4,3.991341,0,,set_2,True,0.7759459999999999,3.215395
27,False,,,set_2_hff,problem_24.anml,453396,0.40503406524658203,7,3.9473650000000005,0,,set_2,True,0.753339,3.194026
26,False,,,set_2_hff,problem_2.anml,453908,0.384631872177124,6,4.018606,0,,set_2,True,0.820417,3.198189
38,False,,,set_2_hff,problem_42.anml,454784,0.5301027297973633,9,4.104128,0,,set_2,True,0.837048,3.26708
134,False,,,set_2_hff,problem_94.anml,454512,0.9345650672912598,13,4.449066,0,,set_2,True,0.810738,3.638328
116,False,,,set_2_hff,problem_58.anml,451644,0.8098878860473633,12,4.392343,0,,set_2,True,0.660338,3.732005
132,False,,,set_2_hff,problem_226.anml,453244,0.927257776260376,13,4.450378,0,,set_2,True,0.7880149999999999,3.662363
80,False,,,set_2_hff,problem_166.anml,453132,0.7480642795562744,12,4.470518,0,,set_2,True,0.7120139999999999,3.758504
116,False,,,set_2_hff,problem_32.anml,454352,0.8312454223632812,12,4.505715,0,,set_2,True,0.792422,3.713293
2966,False,,,set_2_hff,problem_296.anml,529572,24.10535478591919,11,27.618843,0,,set_2,True,0.9567589999999999,26.662084
110,False,,,set_2_hff,problem_190.anml,452904,0.8116512298583984,13,4.335584,0,,set_2,True,0.8266479999999999,3.508936
116,False,,,set_2_hff,problem_178.anml,453212,0.804556131362915,13,4.357148,0,,set_2,True,0.935464,3.421684
112,False,,,set_2_hff,problem_138.anml,454084,0.815575361251831,13,4.394462,0,,set_2,True,0.8567899999999999,3.5376719999999997
5924,False,,,set_2_hff,problem_466.anml,615848,45.255614042282104,12,48.646678,0,,set_2,True,1.036129,47.610549
116,False,,,set_2_hff,problem_204.anml,453432,0.836639404296875,13,4.366765,0,,set_2,True,0.773971,3.592794
108,False,,,set_2_hff,problem_206.anml,453616,0.794489860534668,13,4.391311,0,,set_2,True,0.761577,3.629734
27,False,,,set_2_hff,problem_16.anml,453400,0.4005599021911621,7,3.897112,0,,set_2,True,0.790296,3.106816
4783,False,,,set_2_hff,problem_396.anml,544440,36.87108111381531,12,40.432385000000004,0,,set_2,True,1.071243,39.361142
6132,False,,,set_2_hff,problem_474.anml,623268,48.71462845802307,12,52.284523,0,,set_2,True,1.186624,51.097899
40,False,,,set_2_hff,problem_186.anml,454268,0.5568499565124512,10,4.0237929999999995,0,,set_2,True,0.76479,3.259003
6575,False,,,set_2_hff,problem_272.anml,583540,45.96039342880249,11,49.576482000000006,0,,set_2,True,1.047178,48.529304
106,False,,,set_2_hff,problem_40.anml,453120,0.7752535343170166,12,4.426721000000001,0,,set_2,True,0.7381939999999999,3.688527
31,False,,,set_2_hff,problem_160.anml,454052,0.5181353092193604,9,4.005434,0,,set_2,True,0.7555219999999999,3.249912
123,False,,,set_2_hff,problem_140.anml,453076,0.8680894374847412,13,4.43966,0,,set_2,True,0.837013,3.602647
39373,False,,,set_2_hff,problem_370.anml,1200204,268.30870366096497,13,271.7869,0,,set_2,True,1.6748299999999998,270.11207
2717,False,,,set_2_hff,problem_278.anml,466668,17.678399085998535,13,21.144430999999997,0,,set_2,True,0.8161069999999999,20.328324
2682,False,,,set_2_hff,problem_254.anml,465512,19.034635305404663,9,22.501382,0,,set_2,True,0.796566,21.704816
40,False,,,set_2_hff,problem_44.anml,453420,0.5251674652099609,9,3.9355890000000002,0,,set_2,True,0.7230719999999999,3.212517
123,False,,,set_2_hff,problem_200.anml,453240,0.8634872436523438,13,4.384841,0,,set_2,True,0.860667,3.524174
2309,False,,,set_2_hff,problem_304.anml,453936,16.710275411605835,10,20.308393,0,,set_2,True,0.87522,19.433173
44790,False,,,set_2_hff,problem_314.anml,1472032,313.1571502685547,12,316.595636,0,,set_2,True,1.975416,314.62022
80,False,,,set_2_hff,problem_154.anml,450440,0.7379992008209229,12,4.381689,0,,set_2,True,0.7612829999999999,3.620406
38,False,,,set_2_hff,problem_34.anml,452996,0.5342721939086914,9,4.134607,0,,set_2,True,0.871093,3.263514
118,False,,,set_2_hff,problem_192.anml,453316,0.8538792133331299,13,4.4644829999999995,0,,set_2,True,0.7534029999999999,3.71108
4884,False,,,set_2_hff,problem_480.anml,568904,37.29870843887329,12,40.758752,0,,set_2,True,0.904107,39.854645
6947,False,,,set_2_hff,problem_294.anml,560636,42.66346979141235,8,46.169583,0,,set_2,True,1.141745,45.027838
2705,False,,,set_2_hff,problem_264.anml,462780,18.84444284439087,9,22.468916,0,,set_2,True,0.847248,21.621667999999996
8,False,,,set_2_hff,problem_0.anml,453164,0.3116152286529541,2,3.837267,0,,set_2,True,0.784999,3.052268
36,False,,,set_2_hff,problem_18.anml,453040,0.5157294273376465,8,3.997858,0,,set_2,True,0.827978,3.16988
132,False,,,set_2_hff,problem_156.anml,454808,0.9357836246490479,13,4.407944,0,,set_2,True,0.7202029999999999,3.687741
2304,False,,,set_2_hff,problem_450.anml,473256,19.00052309036255,15,22.477585,0,,set_2,True,0.829612,21.647973
3216,False,,,set_2_hff,problem_400.anml,540060,27.37704563140869,12,30.894412,0,,set_2,True,0.931786,29.962626
2736,False,,,set_2_hff,problem_290.anml,467652,17.7782084941864,13,21.276999,0,,set_2,True,0.8774339999999999,20.399565
53469,False,,,set_2_hff,problem_434.anml,1609496,371.9261019229889,13,375.47117099999997,0,,set_2,True,1.970869,373.500302
2304,False,,,set_2_hff,problem_388.anml,474224,19.059926509857178,15,22.526263999999998,0,,set_2,True,0.897608,21.628656
