macros,positive frequency,length
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),15,4
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),3,5
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l1'),3,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l1'  'move_r0_l2_l1'),3,5
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l1'  'move_r0_l2_l1'  'move_r0_l1_l0'),1,5
('prepare_unload_0'  'move_r0_l2_l1'  'move_r0_l2_l1'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('move_r0_l2_l1'  'move_r0_l2_l1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),1,5
('move_r0_l2_l1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),1,5
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),15,5
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),15,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),46,2
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),105,2
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),7,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),46,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),43,3
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),4,3
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),5,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),46,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),43,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,4
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),4,4
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),5,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),46,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),43,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),2,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),4,5
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),4,5
('load_r0_l1_c1_k1_1'  'prepare_unload_0'),17,2
('prepare_unload_0'  'load_r0_l1_c1_k1_1'),11,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),3,3
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),10,3
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),3,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),3,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),3,4
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),3,4
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),1,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),3,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),3,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,5
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),1,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),42,2
('move_r0_l1_l2'  'move_r0_l1_l2'),101,2
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),42,2
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),100,2
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),9,2
('move_r0_l2_l0'  'move_r0_l2_l0'),90,2
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),1,3
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'),1,3
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),1,3
('load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),41,3
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),41,3
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),37,3
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),8,3
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'),3,3
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),77,3
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),52,3
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),1,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'),1,4
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),1,4
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),1,4
('load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),40,4
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),36,4
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),4,4
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'),2,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),3,4
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),32,4
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),52,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'),1,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),1,5
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),1,5
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),1,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),35,5
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),4,5
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),2,5
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),2,5
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),32,5
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),52,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),41,3
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),5,3
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),21,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),41,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),40,4
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),5,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),5,4
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),20,4
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),20,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),41,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),40,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),39,5
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),3,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),5,5
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),5,5
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),20,5
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),20,5
('prepare_unload_0'  'move_r0_l1_l3'),14,2
('move_r0_l1_l3'  'move_r0_l1_l3'),86,2
('move_r0_l1_l3'  'load_r0_l3_c3_k1_1'),33,2
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),98,2
('load_r0_l3_c3_k1_1'  'move_r0_l3_l0'),7,2
('move_r0_l3_l0'  'prepare_unload_0'),103,2
('prepare_unload_0'  'move_r0_l3_l0'),27,2
('move_r0_l3_l0'  'unload_r0_k1_0'),21,2
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l3'),3,3
('prepare_unload_0'  'move_r0_l1_l3'  'move_r0_l1_l3'),8,3
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'),32,3
('move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),30,3
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'),4,3
('load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'),5,3
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),19,3
('prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'),6,3
('move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),21,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),3,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l3'),3,4
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l3'  'move_r0_l1_l3'),3,4
('prepare_unload_0'  'move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'),3,4
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),29,4
('move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'),1,4
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'),4,4
('load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),5,4
