macros,positive frequency,length
('prepare_unload_0'  'prepare_unload_0'),533,2
('prepare_unload_0'  'unload_r0_k1_0'),263,2
('unload_r0_k1_0'  'unload_r0_k1_0'),342,2
('unload_r0_k1_0'  'prepare_unload_0'),342,2
('prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'),130,3
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),263,3
('unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),341,3
('unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),341,3
('prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),130,4
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),262,4
('unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),340,4
('prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),129,5
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),261,5
('unload_r0_k1_0'  'move_r0_l0_l1'),1,2
('move_r0_l0_l1'  'prepare_unload_0'),4,2
('prepare_unload_0'  'move_r0_l0_l1'),9,2
('unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l1'),1,3
('unload_r0_k1_0'  'move_r0_l0_l1'  'prepare_unload_0'),1,3
('move_r0_l0_l1'  'prepare_unload_0'  'move_r0_l0_l1'),1,3
('prepare_unload_0'  'move_r0_l0_l1'  'prepare_unload_0'),1,3
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l1'),1,4
('unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l1'  'prepare_unload_0'),1,4
('unload_r0_k1_0'  'move_r0_l0_l1'  'prepare_unload_0'  'move_r0_l0_l1'),1,4
('move_r0_l0_l1'  'prepare_unload_0'  'move_r0_l0_l1'  'prepare_unload_0'),1,4
('prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l1'),1,5
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l1'  'prepare_unload_0'),1,5
('unload_r0_k1_0'  'unload_r0_k1_0'  'move_r0_l0_l1'  'prepare_unload_0'  'move_r0_l0_l1'),1,5
('unload_r0_k1_0'  'move_r0_l0_l1'  'prepare_unload_0'  'move_r0_l0_l1'  'prepare_unload_0'),1,5
('move_r0_l0_l1'  'move_r0_l0_l1'),142,2
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'),124,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),124,2
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),1,2
('move_r0_l1_l0'  'prepare_unload_0'),120,2
('prepare_unload_0'  'move_r0_l1_l0'),52,2
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'),124,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),123,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),1,3
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,3
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),41,3
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),28,3
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),38,3
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),123,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),1,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,4
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),1,4
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),25,4
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),25,4
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),38,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),1,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),25,5
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),25,5
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),38,5
('prepare_unload_0'  'load_r0_l1_c1_k1_0'),2,2
('load_r0_l1_c1_k1_0'  'prepare_unload_0'),5,2
('move_r0_l1_l0'  'move_r0_l1_l0'),73,2
('move_r0_l1_l0'  'unload_r0_k1_0'),34,2
('move_r0_l0_l1'  'move_r0_l0_l1'  'prepare_unload_0'),2,3
('move_r0_l0_l1'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'),1,3
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),1,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),4,3
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'),1,3
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),8,3
('move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),19,3
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),34,3
('move_r0_l0_l1'  'move_r0_l0_l1'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'),1,4
('move_r0_l0_l1'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),1,4
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),1,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'),1,4
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),1,4
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),4,4
('move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),19,4
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),34,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),1,5
('move_r0_l0_l1'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),1,5
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),1,5
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),4,5
('move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),19,5
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),34,5
('prepare_unload_0'  'move_r0_l0_l2'),13,2
('move_r0_l0_l2'  'move_r0_l0_l2'),90,2
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),92,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),106,2
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),2,2
('move_r0_l2_l0'  'prepare_unload_0'),127,2
('prepare_unload_0'  'move_r0_l2_l0'),55,2
('move_r0_l2_l0'  'unload_r0_k1_0'),23,2
('prepare_unload_0'  'move_r0_l0_l2'  'move_r0_l0_l2'),9,3
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),89,3
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),91,3
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),2,3
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),2,3
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),30,3
('prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),10,3
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),23,3
('prepare_unload_0'  'move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),9,4
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),88,4
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),2,4
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),2,4
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),10,4
('prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),10,4
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),23,4
('prepare_unload_0'  'move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),8,5
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,5
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),2,5
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),2,5
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),10,5
('prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),10,5
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),23,5
('load_r0_l2_c2_k1_0'  'prepare_unload_0'),5,2
('prepare_unload_0'  'move_r0_l2_l1'),14,2
('move_r0_l2_l1'  'move_r0_l2_l1'),92,2
('move_r0_l2_l1'  'move_r0_l1_l0'),1,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),4,3
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l1'),3,3
('prepare_unload_0'  'move_r0_l2_l1'  'move_r0_l2_l1'),6,3
('move_r0_l2_l1'  'move_r0_l2_l1'  'move_r0_l1_l0'),1,3
('move_r0_l2_l1'  'move_r0_l1_l0'  'prepare_unload_0'),1,3
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),15,3
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),4,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l1'),3,4
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'move_r0_l2_l1'  'move_r0_l2_l1'),3,4
('prepare_unload_0'  'move_r0_l2_l1'  'move_r0_l2_l1'  'move_r0_l1_l0'),1,4
('move_r0_l2_l1'  'move_r0_l2_l1'  'move_r0_l1_l0'  'prepare_unload_0'),1,4
('move_r0_l2_l1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),1,4
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),15,4
